target_vsx_name,catalog_id,flag_reason,VYVAR_comp_rms,VYVAR_selected_tier,VYVAR_status
Gaia DR3 1399363365093103488,1424548396186014976,p2p,0.0348008066805986,TIER4,good
Gaia DR3 1399392570870712448,1399981977822706432,p2p,0.0581285845965713,TIER1,good
Gaia DR3 1399975689990591872,1403221345236894208,drift,0.041711082829793,TIER1,excluded slope=5.1 mmag/hr
Gaia DR3 1399990052361255040,1400425665124317952,p2p,0.0754167898677016,TIER2,good
Gaia DR3 1399990052361255040,1403456331487294976,drift,0.0543027815990938,TIER2,excluded slope=5.8 mmag/hr
Gaia DR3 1400075917347892352,1402946982725737728,drift,0.0598583925729026,TIER1,excluded slope=10.3 mmag/hr
V1151 Her,1400252217165140480,scatter+p2p,0.0243038354039711,TIER1,good
Gaia DR3 1400344610501436672,1403265978537042944,drift,0.0316678145925742,TIER1,excluded slope=9.7 mmag/hr
Gaia DR3 1400464281174584320,1399393322489117440,drift,0.030606840366154,TIER1,excluded slope=7.2 mmag/hr
Gaia DR3 1400524518091844864,1400425665124317952,p2p,0.0783130217978603,TIER1,excluded outlier (p2p=0.0403 > thr=0.0297)
Gaia DR3 1400573820019974016,1404464068254772992,scatter,0.0171027480518226,TIER1,excluded slope=8.9 mmag/hr
Gaia DR3 1402913550700324224,1403202344301466624,scatter+p2p,0.028180922193844,TIER1,excluded outlier (p2p=0.0166 > thr=0.0134)
V1023 Her,1403092255699592960,scatter,0.0175403392765782,TIER1,excluded slope=7.5 mmag/hr
Romania V1,1403435853083220736,scatter+p2p,0.0090483069887843,TIER2,pool (no json)
Gaia DR3 1403104144169094656,1403647745293564160,drift,0.0363278414970451,TIER1,good
Gaia DR3 1403131563240276224,1403265978537042944,drift,0.0316678145925742,TIER1,excluded slope=12.0 mmag/hr
NSV 20420,1403128436504439552,p2p,0.0304195920916406,TIER1,good
Gaia DR3 1403211170458161792,1403516284934567168,p2p,0.0669746372326386,TIER2,excluded slope=5.7 mmag/hr
Gaia DR3 1403235810686680576,1402941931844190720,scatter,0.0436415368307831,TIER1,good
Gaia DR3 1403342944350508032,1403751000603233280,scatter,0.0206470457811776,TIER1,excluded outlier (p2p=0.0077 > thr=0.0067)
Gaia DR3 1403364865863539840,1399905561764598784,drift,0.0205807126057376,TIER1,excluded outlier (p2p=0.0069 > thr=0.0068)
Gaia DR3 1403364865863539840,1403426919551111936,drift,0.0205251271800577,TIER1,excluded slope=7.1 mmag/hr
Gaia DR3 1403368331902102784,1403869816578972160,drift,0.0319898793508377,TIER1,excluded slope=7.8 mmag/hr
Gaia DR3 1403368331902102784,1404501206835188736,drift,0.0357990347173525,TIER1,good
HD 143776,1403113730536432640,scatter+p2p+drift,0.0107740090988939,TIER1,pool (no json)
RR Her,1403435853083220736,scatter+p2p+drift,0.007061199634813,TIER3,excluded slope=6.8 mmag/hr
V1153 Her,1402937774315908864,drift,0.0100549870175818,TIER1,excluded slope=9.5 mmag/hr
Gaia DR3 1403639434533512704,1403119434252636928,drift,0.0472357646194641,TIER1,excluded slope=12.8 mmag/hr
Gaia DR3 1403757735112027904,1403202344301466624,scatter+p2p,0.0143785168214307,TIER1,excluded outlier (p2p=0.0166 > thr=0.0114)
Gaia DR3 1403763988584783232,1403042498502302208,drift,0.020297809940953,TIER1,excluded slope=7.2 mmag/hr
NSVS J1548510+504301,1404146240673982464,scatter+p2p,0.0130779304962361,TIER2,good
Gaia DR3 1404169364777955840,1403380838845918208,scatter+p2p+drift,0.0142326318993239,TIER1,good
Gaia DR3 1404169364777955840,1404576871275637760,scatter+p2p,0.0107956356156913,TIER1,good
Gaia DR3 1404179363461795328,1404459292251119872,scatter,0.0019393340309897,TIER1,excluded slope=19.1 mmag/hr
Gaia DR3 1423182772680344832,1423638137997478400,drift,0.0594829955886387,TIER2,excluded slope=10.7 mmag/hr
Gaia DR3 1423182772680344832,1424475931498480128,drift,0.0420407898126367,TIER2,excluded slope=8.2 mmag/hr
Gaia DR3 1423191190816267648,1423272966993683712,drift,0.0586006360104633,TIER1,excluded slope=22.4 mmag/hr
NSVS J1618591+485752,1400598803846235136,drift,0.0037548262098698,TIER2,good
NSVS J1618591+485752,1424277744526838272,drift,0.0057470218763171,TIER2,good
NSVS J1618591+485752,1424342070252851200,drift,0.0036180639677505,TIER2,good
CSS_J161519.8+491001,1400318321006406656,drift,0.0460328683212044,TIER1,excluded slope=13.3 mmag/hr
Gaia DR3 1423471050885319424,1411165419826493440,drift,0.0515494274392192,TIER1,excluded slope=16.0 mmag/hr
Gaia DR3 1423581448724987264,1424379277553721600,p2p,0.0545743512069628,TIER1,excluded slope=6.1 mmag/hr
Gaia DR3 1424312830115526912,1400270084229050880,p2p,0.0250610340900052,TIER1,good
Gaia DR3 1424411202046618880,1423267744313404416,scatter+p2p,0.0736081968868984,TIER1,excluded outlier (p2p=0.0232 > thr=0.0176)
V0348 Dra,1403509451642824192,p2p,0.0082886242361688,TIER1,good
V0349 Dra,1403476981690082304,scatter,0.0107854150089748,TIER1,excluded outlier (p2p=0.0056 > thr=0.0054)
