target_catalog_id,target_vsx_name,n_comps,n_flagged,n_clean,lc_rms
1399187099635410432,Gaia DR3 1399187099635410432,8,0,8,0.0945155305936435
1399189264299382784,Gaia DR3 1399189264299382784,8,0,8,0.0378124600763726
1399344329798455552,Gaia DR3 1399344329798455552,8,0,8,0.1044920766091028
1399363365093103488,Gaia DR3 1399363365093103488,8,0,8,0.3502307503552571
1399392570870712448,Gaia DR3 1399392570870712448,8,0,8,0.1493673824733443
1399432634325688832,Gaia DR3 1399432634325688832,4,1,3,
1399478779454418304,Gaia DR3 1399478779454418304,8,0,8,0.0684299416209675
1399484964207321344,Gaia DR3 1399484964207321344,8,0,8,0.125529822618416
1399491286399194752,Gaia DR3 1399491286399194752,8,0,8,0.1599583374394343
1399908963378727296,Gaia DR3 1399908963378727296,8,0,8,1.218945901601404
1399951328936065536,Gaia DR3 1399951328936065536,8,0,8,0.0318716642259685
1399954352593040512,Gaia DR3 1399954352593040512,8,0,8,0.128650609559174
1399965828746056704,Gaia DR3 1399965828746056704,8,0,8,0.0959981456598356
1399975689990591872,Gaia DR3 1399975689990591872,7,0,7,0.0803996630956507
1399990052361255040,Gaia DR3 1399990052361255040,7,0,7,0.3188160270504154
1400001665952823296,NSVS 5207307,8,0,8,0.0391511456707789
1400032830235584128,Gaia DR3 1400032830235584128,8,0,8,0.1062926029453641
1400054786108409088,GSC 03493-00009,5,0,5,0.9151270665245498
1400064922231603968,HAT-149-0001062,8,0,8,0.1415848322981523
1400075917347892352,Gaia DR3 1400075917347892352,8,0,8,0.4634111026597822
1400076084850863104,Gaia DR3 1400076084850863104,8,0,8,0.0624582041012777
1400093887491189760,V0649 Her,8,0,8,0.0196554642915082
1400138245913434496,ASASSN-V J160450.98+485218.2,8,0,8,0.0438495561284279
1400141711950227968,Gaia DR3 1400141716247021824,8,0,8,0.0214022422949699
1400153329838590080,V1151 Her,8,0,8,0.1182536643772719
1400155490205311104,Gaia DR3 1400155490205311104,8,0,8,0.0569196039531662
1400206209475391872,Gaia DR3 1400206209475391872,8,0,8,0.1134546662818546
1400231154645531392,Gaia DR3 1400231154645531392,8,0,8,0.0569295318885772
1400258195759622144,Gaia DR3 1400258161399883904,8,0,8,0.1788908718517898
1400271527338499200,ZTF J160834.70+493131.9,8,0,8,0.0153098454188658
1400272519474196224,NSVS J1607316+492856,8,0,8,0.0151087821212168
1400325128529018880,CSS_J160915.8+500223,8,1,7,0.3495843736112387
1400344610501436672,Gaia DR3 1400344610501436672,8,0,8,0.1806707461045185
1400345538214373760,Gaia DR3 1400345538214373760,8,0,8,1.173873856663424
1400393671911675392,Gaia DR3 1400393671911675392,8,0,8,1.1936188585088114
1400397902455707776,Gaia DR3 1400397902455707776,8,0,8,0.0755005434334914
1400464281174584320,Gaia DR3 1400464281174584320,8,0,8,0.0830134527549623
1400474455952839168,V1149 Her,8,0,8,0.4285669415793034
1400511495750950400,Gaia DR3 1400511495750950400,8,0,8,0.1868798941746411
1400524518091844864,Gaia DR3 1400524518091844864,8,0,8,0.3634602193722942
1400525583243731456,Gaia DR3 1400525583243731456,8,0,8,0.1536862839155817
1400549875578714240,V0842 Her,8,0,8,0.169607932899633
1400573820019974016,Gaia DR3 1400573820019974016,8,0,8,0.0496402427862013
1400580112148616320,Gaia DR3 1400580112148616320,8,0,8,0.6478957840147836
1402913550700324224,Gaia DR3 1402913550700324224,8,0,8,0.087544034054232
1402968560641435008,Gaia DR3 1402968560641435008,8,0,8,1.1633490391902617
1403010994918399232,Gaia DR3 1403010994918399232,3,0,3,0.3720541715127994
1403013228301246848,Gaia DR3 1403013228301246848,8,0,8,1.2216712845873057
1403048275234807552,V1022 Her,5,0,5,0.0366625968217841
1403049512185012992,V1023 Her,8,0,8,0.0680800059444485
1403051779927725952,V1021 Her,8,0,8,0.1644914439585689
1403076622018971264,Romania V1,7,4,3,
1403098680970674944,V1142 Her,8,0,8,0.1075048704220762
1403104144169094656,Gaia DR3 1403104144169094656,8,0,8,0.1105891511331577
1403131563240276224,Gaia DR3 1403131563240276224,8,0,8,0.2728378269357997
1403138125950318208,NSVS 5207107,8,0,8,0.2254716593936573
1403150804693811072,Gaia DR3 1403150804693811072,8,0,8,0.0548320784874546
1403156164813074304,Gaia DR3 1403156164813074304,8,0,8,0.6718376992341939
1403162624443914240,NSV 20420,7,2,5,0.0292973374461595
1403186504462105216,V1138 Her,8,0,8,0.15389039197039
1403191486624135680,Gaia DR3 1403191486624135680,8,0,8,0.99308613950874
1403211170458161792,Gaia DR3 1403211170458161792,8,0,8,0.0691533447285664
1403235810686680576,Gaia DR3 1403235810686680576,8,0,8,0.0997540367938118
1403239590257905920,V1137 Her,8,1,7,0.3528297511261507
1403257319882934912,Gaia DR3 1403257319882934912,3,0,3,1.2349731391994343
1403259003510067456,Gaia DR3 1403259003510067456,8,1,7,0.1753976823829463
1403281302980341504,Gaia DR3 1403281028102434048,8,1,7,0.1246099109072976
1403309031288657024,Gaia DR3 1403309031288657536,8,0,8,0.1325147397251169
1403342871335024896,Gaia DR3 1403342944350508032,8,0,8,0.0458419681846664
1403364865863539840,Gaia DR3 1403364865863539840,8,0,8,0.0535088475110164
1403368267477646976,Gaia DR3 1403368331902102784,8,0,8,0.1175321434922073
1403429015495148160,Gaia DR3 1403429015495148160,6,0,6,0.1072660058642931
1403439495215489024,HD 143776,6,0,6,
1403454338622466176,ZTF J160002.69+500228.7,8,0,8,0.2340834285496824
1403477084769298688,Gaia DR3 1403477084769297792,8,0,8,0.0482113700010886
1403481345376841728,RR Her,8,6,2,0.0127941226073352
1403572016430188160,Gaia DR3 1403572016430188160,8,0,8,0.0495926333144225
1403581469654926976,V1153 Her,8,0,8,0.0868442694602143
1403593358124294272,ASASSN-V J160429.70+504749.4,8,0,8,0.0204790277301475
1403639434533512704,Gaia DR3 1403639434533512704,8,0,8,0.2063221043104015
1403664860739877504,ASASSN-V J160300.20+511135.7,8,0,8,0.0264129862599411
1403668674670840192,Gaia DR3 1403668674670840192,8,0,8,0.0752465649634374
1403694616273341952,NSVS 5211418,8,0,8,0.2252665658415498
1403739627529865216,V1143 Her,8,0,8,0.0226565416388426
1403757735112027904,Gaia DR3 1403757735112027904,8,0,8,0.0668887359194015
1403763988584783232,Gaia DR3 1403763988584783232,8,0,8,0.0229343172030204
1403765672211652352,V0345 Dra,8,0,8,0.1355799640017483
1403766939225964288,EV Dra,8,1,7,0.0132374227556389
1403785635219591168,Gaia DR3 1403785635219591168,8,0,8,0.0368897521167851
1403842638025581952,ZTF J155846.26+513939.8,8,0,8,0.0361768748279809
1403901629400693376,Gaia DR3 1403901629400693376,8,0,8,0.0377453996022678
1403947744465714304,ASASSN-V J160105.91+520038.8,8,0,8,0.1086187706769377
1404049036974475392,Gaia DR3 1404049036974475392,4,0,4,0.073461855331107
1404111709137290240,NSVS J1548510+504301,8,0,8,0.0330109511749509
1404114487979918336,Gaia DR3 1404114487979918336,3,0,3,0.0970052785432662
1404169364777955840,Gaia DR3 1404169364777955840,8,0,8,0.0239893458542562
1404179363461795328,Gaia DR3 1404179363461795328,8,1,7,0.1233408475270486
1404643971548728576,Gaia DR3 1404643971548728576,8,0,8,0.0757532717386703
1411137347920211840,Gaia DR3 1411137347920211840,4,0,4,0.3194810048709105
1423163015830766720,Gaia DR3 1423163015830766720,8,0,8,0.2041734549615162
1423181776247930368,Gaia DR3 1423181776247930368,8,0,8,0.0228486786372208
1423182772680344832,Gaia DR3 1423182772680344832,8,0,8,0.1514404870941261
1423191190816267648,Gaia DR3 1423191190816267648,8,1,7,0.4531375288404026
1423196619654946944,NSVS J1618591+485752,8,0,8,0.0160050484571014
1423298324480817664,Gaia DR3 1423298324480817664,8,0,8,0.0387122248128934
1423300008107885440,Gaia DR3 1423300008107885440,8,1,7,0.1692341736907342
1423374156423333760,Gaia DR3 1423374156423333760,7,2,5,0.0180441034238406
1423425214994245760,CSS_J161519.8+491001,8,0,8,0.0594020125053782
1423425318073918720,Gaia DR3 1423425318073918720,8,0,8,0.0154638437369442
1423428410449882624,Gaia DR3 1423428410449882624,8,0,8,0.1809496770450567
1423444830108781184,Gaia DR3 1423444830108781184,8,0,8,0.0437591664255472
1423471050885319424,Gaia DR3 1423471050885319424,8,0,8,0.040677342311746
1423476411004475392,Gaia DR3 1423476411004475392,8,0,8,0.0182827787201445
1423484245024859008,V1164 Her,6,0,6,0.4767993764718548
1423489295906404864,Gaia DR3 1423489295906404864,8,0,8,0.0738679192067779
1423509774310413440,Gaia DR3 1423509774310413440,8,0,8,0.0706723491260471
1423522384334519296,Gaia DR3 1423522384334519296,8,0,8,0.3336548392626282
1423537640058297344,Gaia DR3 1423537640058297344,8,0,8,0.1960324703371851
1423581448724987264,Gaia DR3 1423581448724987264,7,0,7,0.0896185225497259
1423642609059388672,Gaia DR3 1423642609059388672,8,0,8,0.0829195427979517
1423674323097883776,NSV 7688,8,0,8,0.0233707631464908
1424264142366125696,Gaia DR3 1424264142366125696,8,0,8,0.212713044304799
1424284002294967424,Gaia DR3 1424284002294967424,8,0,8,0.0927788497733118
1424285239245553280,Gaia DR3 1424285239245553280,3,2,1,0.5960103124940408
1424312830115526912,Gaia DR3 1424312830115526912,8,0,8,0.0713850422439416
1424334682909093376,Gaia DR3 1424334682909093376,8,0,8,0.0272917081105021
1424347533451238528,Gaia DR3 1424347533451238528,8,0,8,0.1199919710394965
1424411202046618880,Gaia DR3 1424411202046618880,5,0,5,0.0799569548637837
1424418967347483520,Gaia DR3 1424418967347483520,8,2,6,0.2222134332317247
1424457587693403904,Gaia DR3 1424457587693403904,8,0,8,0.0488848365146473
1424471125430422016,Gaia DR3 1424471125430422016,4,0,4,0.1447229603216985
1424482154906384640,V0351 Dra,8,0,8,0.1827602299071669
1424491908776632448,Gaia DR3 1424491908776632448,8,0,8,0.1510826743886602
1424599940089744768,Gaia DR3 1424599940089744768,8,0,8,0.0931427343398752
1424618764930181632,Gaia DR3 1424618764930181632,8,0,8,0.0666248940628217
1424637113030459648,Gaia DR3 1424637113030459648,8,0,8,0.0342658141147074
1424646944211894272,Gaia DR3 1424646944211894272,8,0,8,0.1221293560001155
1424676871544027520,CzeV3505,8,0,8,0.0165126252581643
1424734046148100992,Gaia DR3 1424734046148100992,8,0,8,0.0914959268675945
1424832177561040256,Gaia DR3 1424832177561040256,8,0,8,0.0218567229081139
1427650328942531584,Gaia DR3 1427650328942531584,8,0,8,0.1167812352637887
1427657922444724736,V0348 Dra,8,0,8,0.0475215709434783
1427685753832960256,V0349 Dra,8,0,8,0.1552231731888156
