frame,mjd,source_id,flux_net,flux_net_small,bkg
proc_V842_Her_Light_001.fits,61160.8951534838,1400549875578714240,94879.45293357101,70422.25863943575,3975.480712890625
proc_V842_Her_Light_001.fits,61160.8951534838,1424482807741418496,45156.90454484982,30142.326816717003,3916.466064453125
proc_V842_Her_Light_001.fits,61160.8951534838,1424604750453125632,37553.017231258855,26382.90258204662,3912.1900634765625
proc_V842_Her_Light_001.fits,61160.8951534838,1424610110572298240,66244.80506070302,39619.609354668355,3923.742919921875
proc_V842_Her_Light_001.fits,61160.8951534838,1399451326023390720,121865.92769399029,85359.96174662349,4072.88134765625
proc_V842_Her_Light_001.fits,61160.8951534838,1424666116946228224,43791.48789438559,31032.36988595281,3887.37939453125
proc_V842_Her_Light_001.fits,61160.8951534838,1400589767235049472,130057.20474976313,97789.12762452132,3956.065673828125
proc_V842_Her_Light_001.fits,61160.8951534838,1400240741012505344,34826.18223252904,26283.438071452256,3998.568359375
proc_V842_Her_Light_001.fits,61160.8951534838,1403476981690082304,34394.04337566334,23649.29039746785,3957.776611328125
proc_V842_Her_Light_001.fits,61160.8951534838,1402893450252244224,2149788.2655834863,645249.5708530899,4670.84326171875
proc_V842_Her_Light_001.fits,61160.8951534838,1423245238684739584,2631261.5848890184,1526857.5372362218,4339.76513671875
proc_V842_Her_Light_001.fits,61160.8951534838,1403076622018971264,1982310.9885114713,1202180.021987104,4127.62158203125
proc_V842_Her_Light_001.fits,61160.8951534838,1400514828645544064,1316904.6811570954,900363.3711263849,4100.353515625
proc_V842_Her_Light_001.fits,61160.8951534838,1399377001618295680,876573.8933114891,608571.2905604505,4186.127685546875
proc_V842_Her_Light_001.fits,61160.8951534838,1403535771202501120,661114.1734629911,469306.0298542331,3969.228515625
proc_V842_Her_Light_001.fits,61160.8951534838,1424471709545978240,614379.1892627105,426871.6043590761,3929.163330078125
proc_V842_Her_Light_001.fits,61160.8951534838,1400123058908995456,714003.4318916057,526668.3193945072,4101.657470703125
proc_V842_Her_Light_001.fits,61160.8951534838,1403481345376841728,400518.1095924514,229094.38232210523,4043.765380859375
proc_V842_Her_Light_001.fits,61160.8951534838,1403439495215489024,574639.5985608739,435431.25380509265,4028.12548828125
proc_V842_Her_Light_001.fits,61160.8951534838,1399452116297368448,527387.7945946287,406265.257627918,4101.287841796875
proc_V842_Her_Light_001.fits,61160.8951534838,1423200605384577280,499987.09432006703,409773.689696673,4089.325439453125
proc_V842_Her_Light_001.fits,61160.8951534838,1399983008614862080,404057.14541615575,205382.10106079897,4102.70263671875
proc_V842_Her_Light_001.fits,61160.8951534838,1403435853083220736,370750.81971821765,236849.43828362186,4038.0283203125
proc_V842_Her_Light_001.fits,61160.8951534838,1400593478086775168,486664.77099604916,386723.58828551637,3980.0391845703125
proc_V842_Her_Light_001.fits,61160.8951534838,1404459017373212544,418810.70431087277,294726.25696947513,3814.6573486328125
proc_V842_Her_Light_001.fits,61160.8951534838,1399761628820710400,372245.98527489934,188817.60285092186,4186.271728515625
proc_V842_Her_Light_001.fits,61160.8951534838,1404129954158390272,395322.73732951685,214397.10537804436,3848.018798828125
proc_V842_Her_Light_001.fits,61160.8951534838,1424541116217519488,377424.9185459025,257546.04664359667,3895.7080078125
proc_V842_Her_Light_001.fits,61160.8951534838,1399489602772012672,384447.6856736422,286697.2917243655,4052.1251220703125
proc_V842_Her_Light_001.fits,61160.8951534838,1400265308225459328,383489.520411523,288582.14741427323,4017.5621337890625
proc_V842_Her_Light_001.fits,61160.8951534838,1403113730536432640,408313.5229419018,283787.5649320524,4014.765380859375
proc_V842_Her_Light_001.fits,61160.8951534838,1400016578079287808,301808.6074545207,118389.85705440135,4108.361572265625
proc_V842_Her_Light_001.fits,61160.8951534838,1403559376342746880,363400.4258600799,283337.0621486348,3902.822265625
proc_V842_Her_Light_001.fits,61160.8951534838,1403766939225964288,291823.74447048147,221438.3175150683,3886.7791748046875
