vsx_name,catalog_id,vyvar_lc_rms,psf_rms_phot,psf_rms_vyvar,comp_rms_psf_phot,comp_rms_psf_vyvar,aperture_confidence
RR Her,1403481345376841728,0.0127941226073352,0.02772791888975875,0.014118026785543476,0.03125533497174407,0.011076871338829383,review
EV Dra,1403766939225964288,0.0132374227556389,0.029996984283790162,0.007510405648960778,0.027851531873807085,0.009882907836969209,review
NSVS J1607316+492856,1400272519474196224,0.0151087821212168,0.03814040662882363,,0.03695167587319128,,confirmed
ZTF J160834.70+493131.9,1400271527338499200,0.0153098454188658,0.04354593120329819,0.01316115660452998,0.026745705036719913,0.010227797376175372,confirmed
Gaia DR3 1423425318073918720,1423425318073918720,0.0154638437369442,0.027235085095675547,,0.04145918220893021,,review
NSVS J1618591+485752,1423196619654946944,0.0160050484571014,0.0483434736553327,0.018409879079019368,0.05889707037879628,0.008336192623207516,confirmed
CzeV3505,1424676871544027520,0.0165126252581643,0.03099248716773425,,0.036530568987409376,,review
Gaia DR3 1423374156423333760,1423374156423333760,0.0180441034238406,0.056597876813812203,,0.1062349426707407,,vyvar_ok_indep_failed
Gaia DR3 1423476411004475392,1423476411004475392,0.0182827787201445,0.041443460752490245,0.01559343056239938,0.02348679807596585,0.011671092234566277,confirmed
V0649 Her,1400093887491189760,0.0196554642915082,0.05181049139963691,0.02969622360348404,0.05151758462842196,0.00857350905449045,confirmed
ASASSN-V J160429.70+504749.4,1403593358124294272,0.0204790277301475,0.039989756023382665,,0.04896401562391137,,confirmed
Gaia DR3 1400141716247021824,1400141711950227968,0.0214022422949699,0.07707536081949257,0.9130272372662596,0.02941996956410777,0.007704241123994357,review
Gaia DR3 1424832177561040256,1424832177561040256,0.0218567229081139,0.2792358057374956,,0.051412472233958575,,review
V1143 Her,1403739627529865216,0.0226565416388426,0.37939224823648077,,0.036185094525863964,,confirmed
Gaia DR3 1423181776247930368,1423181776247930368,0.0228486786372208,0.03393414498002332,,0.02827252163980069,,confirmed
Gaia DR3 1403763988584783232,1403763988584783232,0.0229343172030204,0.03721612786091703,,0.030108058899314238,,confirmed
NSV 7688,1423674323097883776,0.0233707631464908,,0.009815919434827906,0.04448779757041202,0.009622887727013257,vyvar_ok_indep_failed
Gaia DR3 1404169364777955840,1404169364777955840,0.0239893458542562,0.03662978931897493,0.017387797874464747,0.029725065889085092,0.008834281814616702,review
ASASSN-V J160300.20+511135.7,1403664860739877504,0.0264129862599411,0.02192543939365405,,0.03763633751592878,,review
Gaia DR3 1424334682909093376,1424334682909093376,0.0272917081105021,0.061637113802128475,,0.05256134638766513,,confirmed
NSV 20420,1403162624443914240,0.0292973374461595,0.04168873214761448,0.09331934673844632,0.07989118842263865,0.01187290808707913,vyvar_ok_indep_failed
Gaia DR3 1399951328936065536,1399951328936065536,0.0318716642259685,0.4263649105678232,,0.10495130066801732,,confirmed
NSVS J1548510+504301,1404111709137290240,0.0330109511749509,0.06347160478955095,0.038598090241942155,0.027369206466938,0.008554919524037165,confirmed
Gaia DR3 1424637113030459648,1424637113030459648,0.0342658141147074,0.2860608545392604,,0.048105800920173386,,confirmed
ZTF J155846.26+513939.8,1403842638025581952,0.0361768748279809,0.08648098883748206,,0.054548751615222824,,confirmed
V1022 Her,1403048275234807552,0.0366625968217841,0.22788751321485817,,0.10857265348984557,,confirmed
Gaia DR3 1403785635219591168,1403785635219591168,0.0368897521167851,0.0781859840518828,,0.030797285689892158,,confirmed
Gaia DR3 1403901629400693376,1403901629400693376,0.0377453996022678,0.06680046153346643,,0.0454109568372386,,confirmed
Gaia DR3 1399189264299382784,1399189264299382784,0.0378124600763726,0.04536281258837856,,0.025508312967107198,,confirmed
Gaia DR3 1423298324480817664,1423298324480817664,0.0387122248128934,,,0.11539683729294792,,vyvar_ok_indep_failed
NSVS 5207307,1400001665952823296,0.0391511456707789,0.2829526456457851,,0.11206019710245664,,confirmed
Gaia DR3 1423471050885319424,1423471050885319424,0.040677342311746,0.15194138871664795,,0.08544676266184306,,confirmed
Gaia DR3 1423444830108781184,1423444830108781184,0.0437591664255472,0.46127372869179734,,0.5155286856087278,,confirmed
ASASSN-V J160450.98+485218.2,1400138245913434496,0.0438495561284279,0.23581570928056111,,0.13658165127848004,,confirmed
Gaia DR3 1403342944350508032,1403342871335024896,0.0458419681846664,0.061054368050096605,,0.03049196018063697,,confirmed
V0348 Dra,1427657922444724736,0.0475215709434783,0.04727950038845279,0.04594641078214681,0.023768247142537998,0.010178275549471729,confirmed
Gaia DR3 1403477084769297792,1403477084769298688,0.0482113700010886,0.05079740458526856,,0.04298441499772172,,confirmed
Gaia DR3 1424457587693403904,1424457587693403904,0.0488848365146473,0.17674018528131658,,0.031330100117848855,,confirmed
Gaia DR3 1403572016430188160,1403572016430188160,0.0495926333144225,0.17171261692967169,,0.029534174953402714,,confirmed
Gaia DR3 1400573820019974016,1400573820019974016,0.0496402427862013,0.07461810680154672,,0.03647363743303238,,confirmed
Gaia DR3 1403364865863539840,1403364865863539840,0.0535088475110164,0.16555183459343722,,0.03427054280066878,,confirmed
Gaia DR3 1403150804693811072,1403150804693811072,0.0548320784874546,0.08526826251655678,,0.05572825158236503,,confirmed
Gaia DR3 1400155490205311104,1400155490205311104,0.0569196039531662,0.15275043643808228,,0.07075039834650648,,confirmed
Gaia DR3 1400231154645531392,1400231154645531392,0.0569295318885772,0.0846821111828812,,0.056466326750792814,,confirmed
CSS_J161519.8+491001,1423425214994245760,0.0594020125053782,0.18248225736297793,,0.087511793554446,,vyvar_ok_indep_failed
Gaia DR3 1400076084850863104,1400076084850863104,0.0624582041012777,0.3133502488727095,,0.06172813639243714,,confirmed
Gaia DR3 1424618764930181632,1424618764930181632,0.0666248940628217,0.08154197317111139,,0.04984845218263961,,confirmed
Gaia DR3 1403757735112027904,1403757735112027904,0.0668887359194015,0.17336126100141308,,0.04818006324149314,,confirmed
V1023 Her,1403049512185012992,0.0680800059444485,0.1671962760030859,,0.07267970266159886,,confirmed
Gaia DR3 1399478779454418304,1399478779454418304,0.0684299416209675,0.1991110514783997,,0.17984529268731636,,confirmed
Gaia DR3 1403211170458161792,1403211170458161792,0.0691533447285664,1.6937917403653446,,0.16603822840907223,,confirmed
Gaia DR3 1423509774310413440,1423509774310413440,0.0706723491260471,0.21659230870847,,0.0978316665050176,,confirmed
Gaia DR3 1424312830115526912,1424312830115526912,0.0713850422439416,0.11225286010150341,,0.09047469279810263,,confirmed
Gaia DR3 1404049036974475392,1404049036974475392,0.073461855331107,0.36946572282539747,,0.19359595463163332,,confirmed
Gaia DR3 1423489295906404864,1423489295906404864,0.0738679192067779,0.13741012707118738,,0.050803056342496496,,confirmed
Gaia DR3 1403668674670840192,1403668674670840192,0.0752465649634374,0.11380224775097243,,0.07418585612827222,,confirmed
Gaia DR3 1400397902455707776,1400397902455707776,0.0755005434334914,0.3042000445262531,,0.038816646519438155,,confirmed
Gaia DR3 1404643971548728576,1404643971548728576,0.0757532717386703,0.1605173467935989,,0.05644077202454703,,confirmed
Gaia DR3 1424411202046618880,1424411202046618880,0.0799569548637837,0.2594923642728235,,0.08025004683296927,,confirmed
Gaia DR3 1399975689990591872,1399975689990591872,0.0803996630956507,0.3424761729690914,,0.09501899504063595,,confirmed
Gaia DR3 1423642609059388672,1423642609059388672,0.0829195427979517,0.43007693433453187,,0.1787416805904255,,confirmed
Gaia DR3 1400464281174584320,1400464281174584320,0.0830134527549623,0.11251984263738053,,0.06714617017151189,,confirmed
