vsx_name,catalog_id,vyvar_lc_rms,target_rms_phot,target_rms_sep,target_rms_dao,comp_rms_phot,comp_rms_sep,comp_rms_dao,n_comp,confidence
RR Her,1403481345376841728,0.0127941226073352,0.012589624603072414,0.007407836937633289,0.02248927554800451,0.0085288767305469,0.0057972559766007485,0.02681681918206142,8,review
EV Dra,1403766939225964288,0.0132374227556389,0.008581468956048414,0.005056333823869552,0.005703681816362832,0.008780462979528511,0.006163155128802177,0.00798755930586324,8,review
NSVS J1607316+492856,1400272519474196224,0.0151087821212168,0.01685086125146547,0.011464606960292601,0.011873417685878202,0.013979144785024787,0.012819971601747554,0.012899403536244296,8,confirmed
ZTF J160834.70+493131.9,1400271527338499200,0.0153098454188658,0.012637764073891033,0.011958597658013746,0.012154471077632543,0.007814445999463378,0.007154084208338581,0.006992557811119208,8,confirmed
Gaia DR3 1423425318073918720,1423425318073918720,0.0154638437369442,0.011824903263304789,0.010264589705901744,0.00977020915493092,0.013201427585232909,0.010226394681541075,0.010247750478003803,8,review
NSVS J1618591+485752,1423196619654946944,0.0160050484571014,0.015153039684464752,0.013548857435848594,0.013350233044393619,0.006676825982382591,0.006132657651444298,0.006326640298378598,8,confirmed
CzeV3505,1424676871544027520,0.0165126252581643,0.015179121120922623,0.011045379637307388,0.010516955573567318,0.01211128660131482,0.011746070425124822,0.011652966050319671,8,review
Gaia DR3 1423374156423333760,1423374156423333760,0.0180441034238406,0.010797300896962738,0.006831050500726599,0.024635483028348063,0.06710671848127209,0.05439307765968987,0.06716752848937627,7,vyvar_ok_indep_failed
Gaia DR3 1423476411004475392,1423476411004475392,0.0182827787201445,0.01617026371732778,0.014581224182116038,0.014600630241138498,0.009916741634997183,0.008237490909933136,0.00829289883664735,8,confirmed
V0649 Her,1400093887491189760,0.0196554642915082,0.02493168921795174,0.016883575088882493,0.016719681957371415,0.006887713247786711,0.0064541923775279335,0.006401362064173152,8,confirmed
ASASSN-V J160429.70+504749.4,1403593358124294272,0.0204790277301475,0.016484193236044446,0.01627841277291198,0.01579310657393231,0.013280186806696861,0.011034160219442765,0.011012652236107947,8,confirmed
Gaia DR3 1400141716247021824,1400141711950227968,0.0214022422949699,0.022313041236621277,0.006592365588818264,0.014956032053881543,0.0072300102107203095,0.006554323997700808,0.006498739700955691,8,review
Gaia DR3 1424832177561040256,1424832177561040256,0.0218567229081139,0.03693665456062927,0.015015389935859332,0.014452387424155812,0.015276217645018318,0.01120456366976677,0.011146794120018521,8,review
V1143 Her,1403739627529865216,0.0226565416388426,0.024517292814103274,0.022086223728889146,0.019303836951867583,0.018409228563041474,0.01521730502477094,0.01530429104731631,8,confirmed
Gaia DR3 1423181776247930368,1423181776247930368,0.0228486786372208,0.023056815749811877,0.02130639026259203,0.02021838980270239,0.01430555289496201,0.01052239583207078,0.010557208200457899,8,confirmed
Gaia DR3 1403763988584783232,1403763988584783232,0.0229343172030204,0.019093628564999375,0.019064075246987403,0.01911350425397522,0.017087789922111837,0.013326407175600703,0.014333730931068192,8,confirmed
NSV 7688,1423674323097883776,0.0233707631464908,,,0.021128206704036125,0.009175302534001086,0.007562354782275271,0.007561694177843193,8,vyvar_ok_indep_failed
Gaia DR3 1404169364777955840,1404169364777955840,0.0239893458542562,0.021353835085684888,0.013463237078707219,0.01360742520688135,0.00856019016142211,0.007793842340987497,0.007817375722910757,8,review
ASASSN-V J160300.20+511135.7,1403664860739877504,0.0264129862599411,0.00855362443354372,0.00796593039343956,0.007520981123944634,0.02158030069378164,0.017724626502772147,0.01864908364485772,8,review
